,,メーカ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,エコギア,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,デュエル,デュエル,デュエル,デュエル,デュエル,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,バレーヒル,バレーヒル,バレーヒル,バレーヒル,バレーヒル,キザクラ,キザクラ,キザクラ,キザクラ,キザクラ,キザクラ,キザクラ,釣研,釣研,釣研,釣研,釣研,釣研,ジャッカル,ジャッカル,ジャッカル,ジャッカル,ジャッカル
ダイワ,エメラルダス ボートⅡ 3.25,30g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK,OK*5,OK*2,OK*5,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,NG,NG,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,？,？,OK,？,？,？,？,？,？,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,OK,NG,NG,NG,NG,NG
ダイワ,エメラルダス ボートⅡ 3.5,30g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK,OK*5,OK,OK*5,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,？,？,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,？,NG,NG,NG,NG,OK,OK*2,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,OK,NG,NG,NG,NG,NG
ダイワ,エメラルダス ボートⅡ 3.5,50g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK,？,NG,？,NG,NG,NG,NG,NG,NG,NG,？,？,？,？,？,？,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,？,NG,NG,NG,NG,OK*2,OK*2,NG,NG,OK,OK,OK,OK,NG,NG,NG,NG,OK,NG,NG,NG,NG,NG
ダイワ,エメラルダス ボートジョイント 3.0,25g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK*2,？,NG,？,NG,NG,NG,NG,NG,NG,NG,？,？,？,？,NG,NG,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,？,？,OK,？,？,？,？,？,？,NG,NG,NG,NG,NG,NG,NG,OK*2,NG,OK*2,OK*2,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
ダイワ,エメラルダス ボートジョイント 3.5,30g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK*1,？,NG,？,OK*2,NG,NG,NG,NG,NG,NG,？,？,？,？,？,NG,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,？,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK*3,NG,NG,NG,NG,OK*3,NG,NG,NG,NG,NG
バレーヒル,スクイッドシーカー 3.0号,23g,OK,OK,OK,OK,NG,NG,NG,NG,NG,OK*1,OK*5,OK*3,OK*5,OK*1,OK,OK,NG,NG,NG,NG,？,？,？,？,？,OK*3,？,？,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,NG,？,？,NG,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,NG,OK,OK,NG,NG,NG,NG
バレーヒル,スクイッドシーカー 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK*1,OK*5,OK*1,OK*5,OK*1,OK,OK,OK,OK,OK,OK,？,？,？,？,？,OK*3,？,？,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,NG,？,？,OK*2,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*2,OK*2,OK*2,OK*2,OK*2
バレーヒル,スクイッドシーカーL 3.5号,23g,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK*1,OK*5,OK*3,OK*5,OK*1,OK,OK,OK,OK,OK,OK,？,？,？,？,？,OK*3,？,？,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,NG,？,？,OK*1,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
シマノ,セフィア アントラージュ シーグル 3.5号　S0,25g,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG*4,NG,NG*4,NG,NG,NG,NG,NG,NG,NG,？,？,？,？,？,OK*2,？,？,NG,NG,NG*4,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG*4,NG*4,NG,NG*4,NG*4,NG*4,NG*4,NG*4,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
シマノ,セフィア アントラージュ シーグル 3.5号　S1,28g,OK,OK,OK,OK*1,OK*1,OK*1,OK,OK*1,OK,NG,NG*4,NG,？,OK*3,OK,OK*1,OK*3,NG,OK*3,OK*3,？,？,？,？,？,NG,？,？,OK,OK,OK,OK,OK,NG,OK*3,OK*3,NG,NG,NG,NG,？,？,NG,？,？,？,？,？,？,OK*3,OK,OK,OK,OK*3,OK,OK,OK,OK*1,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
シマノ,セフィア アントラージュ シーグル 3.5号　S2,35g,OK*3,OK*3,OK*3,OK*1,OK*1,OK*3,OK*3,OK*3,OK,NG,NG*4,NG,？,OK*3,NG,NG,NG,NG,OK,OK,？,？,？,？,？,NG,？,？,OK*1,OK*1,OK*1,OK*1,OK*1,OK*1,OK*3,OK*1,NG,NG,NG,NG,？,？,NG,？,？,？,？,？,？,OK*1,OK,OK,OK*3,OK*3,OK,OK,OK,OK*3,OK,OK*3,OK*1,OK,OK*1,OK*3,OK*1,NG,OK*1,OK*1,OK*1,OK,OK
シマノ,セフィア アントラージュ シーグル 3.5号　S3,43g,OK,OK,OK*1,OK*1,OK*3,OK*3,OK*3,OK,NG,NG,NG*4,NG,？,OK*1,NG,NG,NG,OK*3,OK,OK,？,？,？,？,？,NG,？,？,OK,OK,OK,OK,OK*1,OK*3,OK*3,OK*3,NG,OK*3,NG,NG,？,？,NG,？,？,？,？,？,？,OK,OK,OK,OK,OK*1,OK,OK,OK,OK,OK*3,NG,OK*3,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
シマノ,アントラージュ 3.0号,21g,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,？,OK*1,OK*5,OK*1,OK,OK,OK,NG,OK*2,OK*2,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,NG,？,？,NG,？,？,？,？,？,？,OK*1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
ハリミツ,墨族BB,30g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,OK*5,OK*1,OK*5,OK*1,OK,OK,OK,OK,OK,OK,？,？,？,？,？,OK,？,？,OK,OK,OK,OK,OK,OK*3,OK*3,NG,NG,NG,NG,NG,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
ハリミツ,墨族BB,40g,NG,NG,NG,NG,NG,NG,NG,NG*4,NG,OK*1,OK*5,OK,OK*5,OK,OK,NG,NG,NG,NG,NG,？,？,？,？,？,OK,？,？,OK,OK,OK,OK,NG,OK*1,OK*1,NG,OK,OK,OK,OK*2,？,？,OK,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,OK,OK*2,NG,NG,NG
キーストン,デイブレイク 3.3号,35g,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK*3,OK*5,OK*3,OK*5,OK*3,OK,OK,OK,OK*2,OK,OK,？,？,？,？,？,OK,？,？,OK,OK,OK,OK,OK,NG,OK*3,OK*1,NG,NG,NG,NG,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
キーストン,ジェットチェイサー 2.5号,20g,OK,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,OK,OK,OK,OK,OK,OK,NG,OK,OK,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*3,OK*3,OK*3,NG,NG,NG,NG,？,？,OK*3,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
キーストン,ジェットチェイサー 2.6号,22g,OK,OK,OK,OK,OK,OK,OK,OK,NG,NG,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*3,OK*3,OK*3,OK*3,OK*3,NG,NG,？,？,OK*3,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
キザクラ,エギボー 3.0号,25g,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK*1,OK*5,OK,OK*5,OK,OK,OK,OK,NG,NG,NG,？,？,？,？,？,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*1,OK*1,OK*1,OK*1,OK*1,OK*1,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*3,OK,OK,OK,OK,OK
キザクラ,エギボー 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK*1,OK*5,OK*1,OK*5,OK,OK,OK,OK,OK,OK,OK,？,？,？,？,？,OK,？,？,OK,OK,OK,OK,OK,OK*3,OK*1,OK*1,OK*1,OK*1,OK*1,OK*1,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,OK,OK,OK,O5,OK
スクイッドマニア,ワイルドチェイス B-TR 2.5号,15g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*5,OK*1,OK*5,OK*1,OK,OK,OK,NG,OK,OK,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*1,OK*1,OK*1,OK*1,NG,NG,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
スクイッドマニア,ワイルドチェイス B-TR 3.0号,25g,OK,OK,OK,OK,OK,OK,OK,OK,OK*2,OK,OK*5,OK,OK*5,OK*1,NG,NG,NG,NG,NG,NG,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*1,OK*1,OK*1,OK*1,NG,NG,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*2,OK*2,OK*2,OK*2,OK,OK,OK,OK,OK,OK
スクイッドマニア,ワイルドチェイス B-TR 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,OK*2,OK*1,OK*5,OK*1,OK*5,OK,NG,NG,NG,NG,OK*2,OK*2,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*1,OK*1,OK*1,OK*1,OK*1,NG,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK
OGK,烏賊墨TR,35g,NG,NG,NG,NG,NG,NG,NG,NG,OK*2,OK*6,？,OK,？,OK*3,NG,NG,NG,NG,NG,NG,？,？,？,？,OK*3,OK,？,？,OK,OK,OK,OK,OK,OK,OK,OK*1,OK,OK,OK,OK,？,？,OK,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,OK,NG,NG,NG,NG
OGK,烏賊墨TR,45g,NG,NG,NG,NG,NG,NG,NG,NG,NG,OK*6,？,OK,？,NG,NG,NG,NG,NG,NG,NG,？,？,？,？,OK,OK,？,？,OK*2,OK,OK*2,OK*2,OK*2,OK,OK,OK,OK,OK,OK,OK,？,？,OK,？,？,？,？,？,？,NG,0,NG,OK*2,NG,NG,NG,NG,OK,OK,OK,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
釣研,エギスタTR 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*5,OK,OK*5,OK,OK,OK,OK,NG,OK,OK,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*1,NG,NG,NG,NG,NG,？,？,OK*1,？,？,？,？,？,？,OK*1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
ジャッカル,ゲキダキTR 2.5号,18g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*5,OK,OK*5,OK,OK,OK,OK,OK,OK,OK,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*1,OK*1,OK*1,OK*3,OK*3,OK*3,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
ジャッカル,ゲキダキTR 3.0号,24g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,OK*5,OK*1,OK*5,OK,OK,OK,OK,NG,OK,OK,？,？,？,？,OK*1,OK,？,？,OK,OK,OK,OK,OK,OK*1,OK*3,OK*3,OK*3,OK*3,OK*3,OK*3,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
ジャッカル,ゲキダキTR 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,OK*5,OK*1,OK*5,OK,OK,OK,OK,NG,OK,OK,？,？,？,？,OK,OK,？,？,OK,OK,OK,OK,OK,OK*3,OK*3,OK*3,OK*3,OK*3,OK*3,OK*3,？,？,OK*1,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
ウロコ,ウロコロUTR 3.5号,30g,NG,NG,NG,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,NG,NG,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,？,？,OK,？,？,？,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,OK,NG,NG,NG,NG,NG
アクアウェーブ,アオリクスTR 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK,OK,OK,NG,NG,OK,NG,？,？,？,？,OK*1,OK,？,？,OK,OK,OK,OK,OK,OK*3,OK*3,OK*3,OK*3,OK*3,OK*3,OK*3,？,？,OK*3,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
アクアウェーブ,アオリクスTR 3.5号,50g,OK,OK,OK,NG,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,OK,OK,？,？,OK,NG,NG,NG,NG,OK,OK,OK,OK*3,OK*3,OK*3,OK*3,？,？,OK,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,NG,NG,NG,OK,NG,NG,NG,NG,NG